Aortic BP, Brachial BP
93.84288405659959, 99.99682501963551
103.61960387477276, 110.07965591340374
114.88790728550464, 120.054773529906
124.85482467538296, 129.933603404225
133.83227392844233, 140.0494641155004
143.95209692948325, 149.88440437929012
152.79643511779045, 159.91036484564802
160.8349724611981, 169.94961719722
171.36739523797308, 179.8985371847005
